Stage ,Reproduced,DeathDay,Survived,Emerged
capped,,1,0,0
capped,,1,0,0
capped,,1,0,0
capped,,2,0,0
capped,,4,0,0
capped,,4,0,0
capped,,4,0,0
capped,,4,0,0
capped,,4,0,0
capped,,4,0,0
capped,,4,0,0
capped,,4,0,0
capped,,4,0,0
capped,,4,0,0
capped,,4,0,0
capped,,5,0,0
capped,,5,0,0
capped,,5,0,0
capped,,5,0,0
capped,,5,0,0
capped,,5,0,0
capped,,5,0,0
capped,,6,0,0
capped,,6,0,0
capped,,7,0,0
capped,,7,0,0
capped,,7,0,0
capped,,7,0,0
capped,,7,0,0
capped,,7,0,0
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,0,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
capped,1,12,1,1
uncapped,,1,0,0
uncapped,,1,0,0
uncapped,,1,0,0
uncapped,,4,0,0
uncapped,,4,0,0
uncapped,,4,0,0
uncapped,,5,0,0
uncapped,,5,0,0
uncapped,,5,0,0
uncapped,,5,0,0
uncapped,,5,0,0
uncapped,,5,0,0
uncapped,,5,0,0
uncapped,,5,0,0
uncapped,,5,0,0
uncapped,,5,0,0
uncapped,,6,0,0
uncapped,,6,0,0
uncapped,,6,0,0
uncapped,,6,0,0
uncapped,,7,0,0
uncapped,,7,0,0
uncapped,,7,0,0
uncapped,,7,0,0
uncapped,,8,0,0
uncapped,,8,0,0
uncapped,,8,0,0
uncapped,,8,0,0
uncapped,,11,0,0
uncapped,,11,0,0
uncapped,,11,0,0
uncapped,,11,0,0
uncapped,,11,0,0
uncapped,,11,0,0
uncapped,,11,0,0
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,0,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
uncapped,1,12,1,1
