Stage,Reproduced,DeathDay,Survived
adultadultcapsule,,1,0
adultadultcapsule,,1,0
adultadultcapsule,,1,0
adultadultcapsule,,1,0
adultadultcapsule,,2,0
adultadultcapsule,,2,0
adultadultcapsule,,3,0
adultadultcapsule,,4,0
adultadultcapsule,,4,0
adultadultcapsule,,4,0
adultadultcapsule,,4,0
adultadultcapsule,,4,0
adultadultcapsule,,4,0
adultadultcapsule,,4,0
adultadultcapsule,,5,0
adultadultcapsule,,5,0
adultadultcapsule,,6,0
adultadultcapsule,,6,0
adultadultcapsule,,8,0
adultadultcapsule,,8,0
adultadultcapsule,,8,0
adultadultcapsule,,8,0
adultadultcapsule,,8,0
adultadultcapsule,,10,0
adultadultcapsule,,10,0
adultadultcapsule,,10,0
adultadultcapsule,,10,0
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,0,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
adultadultcapsule,1,11,1
larvaeadultcapsule,,1,0
larvaeadultcapsule,,1,0
larvaeadultcapsule,,1,0
larvaeadultcapsule,,1,0
larvaeadultcapsule,,1,0
larvaeadultcapsule,,1,0
larvaeadultcapsule,,1,0
larvaeadultcapsule,,1,0
larvaeadultcapsule,,2,0
larvaeadultcapsule,,2,0
larvaeadultcapsule,,2,0
larvaeadultcapsule,,3,0
larvaeadultcapsule,,3,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,4,0
larvaeadultcapsule,,5,0
larvaeadultcapsule,,7,0
larvaeadultcapsule,,7,0
larvaeadultcapsule,,7,0
larvaeadultcapsule,,7,0
larvaeadultcapsule,,7,0
larvaeadultcapsule,,7,0
larvaeadultcapsule,,7,0
larvaeadultcapsule,,8,0
larvaeadultcapsule,,8,0
larvaeadultcapsule,,10,0
larvaeadultcapsule,,10,0
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,0,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
larvaeadultcapsule,1,11,1
adultcapsule,,1,0
adultcapsule,,1,0
adultcapsule,,1,0
adultcapsule,,1,0
adultcapsule,,2,0
adultcapsule,,4,0
adultcapsule,,4,0
adultcapsule,,5,0
adultcapsule,,5,0
adultcapsule,,6,0
adultcapsule,,6,0
adultcapsule,,6,0
adultcapsule,,6,0
adultcapsule,,6,0
adultcapsule,,6,0
adultcapsule,,6,0
adultcapsule,,6,0
adultcapsule,,7,0
adultcapsule,,7,0
adultcapsule,,7,0
