Source,Reproduced,DeathDay,Survived,Emerged
one,,3,0,0
one,,4,0,0
one,,4,0,0
one,,6,0,0
one,,6,0,0
one,,6,0,0
one,,6,0,0
one,,8,0,0
one,,10,0,0
one,,10,0,0
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,0,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
one,1,10,1,1
two,,1,0,0
two,,1,0,0
two,,3,0,0
two,,3,0,0
two,,3,0,0
two,,3,0,0
two,,3,0,0
two,,6,0,0
two,,6,0,0
two,,6,0,0
two,,6,0,0
two,,6,0,0
two,,6,0,0
two,,6,0,0
two,,7,0,0
two,,7,0,0
two,,7,0,0
two,,7,0,0
two,,10,0,0
two,,10,0,0
two,,10,0,0
two,,10,0,0
two,,10,0,0
two,,10,0,0
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,0,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
two,1,10,1,1
three,,1,0,0
three,,1,0,0
three,,1,0,0
three,,1,0,0
three,,1,0,0
three,,1,0,0
three,,3,0,0
three,,3,0,0
three,,4,0,0
three,,4,0,0
three,,4,0,0
three,,4,0,0
three,,4,0,0
three,,4,0,0
three,,4,0,0
three,,4,0,0
three,,4,0,0
three,,4,0,0
three,,4,0,0
three,,6,0,0
three,,6,0,0
three,,6,0,0
three,,6,0,0
three,,10,0,0
three,,10,0,0
three,,10,0,0
three,,10,0,0
three,,10,0,0
three,,10,0,0
three,,10,0,0
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,0,10,1,1
three,1,10,1,1
three,1,10,1,1
three,1,10,1,1
three,1,10,1,1
four,,1,0,0
four,,1,0,0
four,,1,0,0
four,,2,0,0
four,,2,0,0
four,,2,0,0
four,,3,0,0
four,,3,0,0
four,,4,0,0
four,,4,0,0
four,,5,0,0
four,,5,0,0
four,,5,0,0
four,,5,0,0
four,,5,0,0
four,,5,0,0
four,,5,0,0
four,,5,0,0
four,,5,0,0
