Temperature,Reproduced,DeathDay,Survived
thirtypointfive,,1,0
thirtypointfive,,1,0
thirtypointfive,,2,0
thirtypointfive,,2,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,5,0
thirtypointfive,,6,0
thirtypointfive,,6,0
thirtypointfive,,7,0
thirtypointfive,,7,0
thirtypointfive,,7,0
thirtypointfive,,7,0
thirtypointfive,,7,0
thirtypointfive,,7,0
thirtypointfive,,7,0
thirtypointfive,,7,0
thirtypointfive,,7,0
thirtypointfive,,8,0
thirtypointfive,,8,0
thirtypointfive,,8,0
thirtypointfive,,8,0
thirtypointfive,,9,0
thirtypointfive,,9,0
thirtypointfive,,10,0
thirtypointfive,,11,0
thirtypointfive,,11,0
thirtypointfive,,11,0
thirtypointfive,,11,0
thirtypointfive,,11,0
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,0,18,1
thirtypointfive,1,18,1
thirtypointfive,1,18,1
thirtypointfive,1,18,1
thirtypointfive,1,18,1
thirtypointfive,1,18,1
thirtypointfive,1,18,1
thirtypointfive,1,18,1
thirtypointfive,1,18,1
thirtypointfive,1,18,1
thirtypointfive,1,18,1
thirtytwopointfive,,1,0
thirtytwopointfive,,1,0
thirtytwopointfive,,3,0
thirtytwopointfive,,3,0
thirtytwopointfive,,3,0
thirtytwopointfive,,3,0
thirtytwopointfive,,3,0
thirtytwopointfive,,4,0
thirtytwopointfive,,4,0
thirtytwopointfive,,4,0
thirtytwopointfive,,4,0
thirtytwopointfive,,4,0
thirtytwopointfive,,4,0
thirtytwopointfive,,4,0
